,RANKING,GPU,NEW_PRICE,PASSMARK_SCORE,USED_PRICE,USED_DOLLARS_PER_POINT,NEW_DOLLARS_PER_POINT
117,101,Radeon Pro 5700,,11844.0,,,
118,103,Radeon RX 6700M,,11800.0,,,
119,105,Quadro M6000,1099.98,11678.0,,,0.09419249871553348
120,106,Tesla M40 24GB,,11658.0,,,
121,107,Quadro P4000,556.19,11390.0,,,0.04883143107989465
122,108,GeForce RTX 2060 (Mobile),,11355.0,,,
123,109,Radeon Pro Vega 48,,11353.0,,,
124,111,Quadro RTX 4000 with Max-Q Design,,11186.0,,,
125,112,GeForce RTX 2070 with Max-Q Design,,11178.0,,,
126,114,Quadro RTX 3000,,11091.0,,,
127,115,Radeon Pro Vega 64,,10828.0,,,
128,116,RTX A2000 8GB Laptop GPU,,10824.0,,,
129,117,Tesla T4,4581.01,10807.0,,,0.4238928472286481
130,119,Radeon RX 6600M,259.99,10529.0,,,0.024692753347896286
131,120,Radeon Pro SSG,2410.15,10498.0,,,0.2295818251095447
132,121,Radeon Instinct MI25 MxGPU,,10466.0,,,
133,122,GeForce GTX 1070 (Mobile),,10465.0,,,
134,123,Quadro P4200 with Max-Q Design,,10323.0,,,
135,124,RTX A2000 Laptop GPU,,10209.0,,,
136,125,GeForce GTX 1660 Ti (Mobile),,10176.0,,,
137,126,GeForce GTX 1080 with Max-Q Design,,10175.0,,,
138,128,Tesla M40,600.0,10117.0,,,0.05930611841454977
139,129,NVS 315,69.99,,,,
140,132,Quadro P4200,,9853.0,,,
141,133,Quadro P5200 with Max-Q Design,,9796.0,,,
142,134,RTX A1000 Laptop GPU,,9746.0,,,
143,135,Radeon R9 Fury + Fury X,449.99,9741.0,,,0.04619546247818499
144,137,Radeon RX 6800M,,9712.0,,,
145,138,GeForce RTX 3050 Ti Laptop GPU,,9676.0,,,
146,143,Radeon Ryzen 9 4900HSS,,9461.0,,,
147,144,Quadro P2200,577.17,9456.0,,,0.06103743654822335
148,145,GeForce GTX 1070 with Max-Q Design,,9442.0,,,
149,147,Quadro M5000,499.0,9318.0,,,0.05355226443442799
150,148,Radeon Pro W5500,480.99,9292.0,,,0.05176388291003013
151,149,Radeon RX 6500 XT,167.99,9259.0,,,0.01814342801598445
152,151,GeForce GTX TITAN Z,1515.0,9189.0,,,0.16487104146261836
153,152,Radeon Pro 5600M,,9153.0,,,
154,153,GeForce GTX TITAN Black,524.99,9140.0,,,0.057438730853391684
155,154,Quadro P4000 with Max-Q Design,,9083.0,,,
156,156,GeForce RTX 3050 Laptop GPU,300.02,9039.0,,,0.03319172474831286
157,157,GeForce GTX 1060 5GB,487.99,9039.0,,,0.05398716672198252
